Alex.	Alexander
Am.	Amores
Anach.	Anacharsis
Apol.	Apologia
Asin.	Asinus
Astr.	de Astrologia
Bacch.	Bacchus
Bis Acc.	Bis Accusatus
Cal.	Calumniae non temere credendum
Cat.	Cataplus
Charid.	Charidemus
Cont.	Contemplantes
Cyn.	Cynicus
DDeor.	Dialogi Deorum
DMar.	Dialogi Marini
DMeretr.	Dialogi Meretricii
DMort.	Dialogi Mortuorum
Dem.Enc.	Demosthenis Encomium
Demon.	Demonax
Deor.Conc.	Deorum Concilium
Dips.	Dipsades
Dom.	de Domo
Electr.	Electrum
Ep.Sat.	Epistulae Saturnales
Eun.	Eunuchus
Fug.	Fugitivi
Gall.	Gallus
Halc.	Halcyon
Harm.	Harmonides
Herc.	Hercules
Herm.	Hermotimus
Herod.	Herodotus
Hes.	Hesiodus
Hipp.	Hippias
Hist.Conscr.	Quomoao historia conscribenda sit
Icar.	Icaromenippus
Im.	Imagines
Ind.	adversus Indoctum
JConf.	Juppiter Confutatus
JTr.	Juppiter Tragoedus
Jud.Voc.	Judicium Vocalium
Laps.	pro Lapsu inter Salutandum
Lex.	Lexiphanes
Luct.	de Luctu
Macr.	Macrobii
Merc.Cond.	de Mercede Conductis
Musc.Enc.	Muscae Encomium
Nav.	Navigium
Nec.	Necyomantia
Ner.	Nero
Nigr.	Nigrinus
Ocyp.	Ocypus
Par.	de Parasito
Patr.Enc.	Patriae Encomium
Peregr.	de Morte Peregrini
Philopatr.	Philopatris
Philops.	Philopseudes
Pisc.	Piscator
Pr.Im.	pro Imaginibus
ProMerc.Cond.	pro Mercede Conductis
Prom.	Prometheus
Prom.Es	Prometheus es in verbis
Pseudol.	Pseudologista
Rh.Pr.	Rhetorum praeceptor
Sacr.	de Sacrificiis
Salt.	de Saltatione
Sat.	Saturnalia
Scyth.	Scytha
Sol.	Soloecista
Somn.	Somnium sive Vita Luciani<*>
Symp.	Symposium
Syr.D.	de Syria Dea
Tim.	Timon
Tox.	Toxaris
Trag.	Tragodopodagra
Tyr.	Tyrannicida
Vit.Auct.	Vitarum Auctio
Zeux.	Zeuxis
Epit.	Epitome,
Mus.	Hymnus in Musam
Nem.	Hymnus in Nemesin
Sol.	Hymnus in Solem
Al.	Alexipharmaca
Th.	Theriaca
Vit.Caes.	Vita Caesaris
Eup.	Euporista
Fr.	Fragmenta
